Ac,0.020,0.380,0.670
Ag,0.020,0.380,0.670
Al,0.020,0.380,0.670
Am,0.020,0.380,0.670
Ar,0.020,0.380,0.670
As,0.020,0.380,0.670
At,0.020,0.380,0.670
Au,0.960,0.720,0.000
B,1.000,0.600,0.600
Ba,0.020,0.380,0.670
Be,0.020,0.380,0.670
Bh,0.020,0.380,0.670
Bi,0.020,0.380,0.670
Bk,0.020,0.380,0.670
Br,0.500,0.300,0.000
C,0.600,0.600,0.600
Ca,0.020,0.380,0.670
Cd,0.020,0.380,0.670
Ce,0.020,0.380,0.670
Cf,0.020,0.380,0.670
Cl,0.550,0.900,0.020
Cm,0.020,0.380,0.670
Co,0.020,0.380,0.670
Cr,0.020,0.380,0.670
Cs,0.020,0.380,0.670
Cu,0.890,0.350,0.000
Db,0.020,0.380,0.670
Ds,0.020,0.380,0.670
Dy,0.020,0.380,0.670
Er,0.020,0.380,0.670
Es,0.020,0.380,0.670
Eu,0.020,0.380,0.670
F,0.000,0.900,0.040
Fe,0.020,0.380,0.670
Fm,0.020,0.380,0.670
Fr,0.020,0.380,0.670
Ga,0.020,0.380,0.670
Gd,0.020,0.380,0.670
Ge,0.020,0.380,0.670
H,0.900,0.900,0.900
He,0.020,0.380,0.670
Hf,0.020,0.380,0.670
Hg,0.020,0.380,0.670
Ho,0.020,0.380,0.670
Hs,0.020,0.380,0.670
I,0.650,0.000,0.650
In,0.020,0.380,0.670
Ir,0.020,0.380,0.670
K,0.020,0.380,0.670
Kr,0.020,0.380,0.670
La,0.020,0.380,0.670
Li,0.020,0.380,0.670
Lr,0.020,0.380,0.670
Lu,0.020,0.380,0.670
Md,0.020,0.380,0.670
Mg,0.020,0.380,0.670
Mn,0.020,0.380,0.670
Mo,0.020,0.380,0.670
Mt,0.020,0.380,0.670
N,0.100,0.100,1.000
Na,0.020,0.380,0.670
Nb,0.020,0.380,0.670
Nd,0.020,0.380,0.670
Ne,0.020,0.380,0.670
Ni,0.020,0.380,0.670
No,0.020,0.380,0.670
Np,0.020,0.380,0.670
O,1.000,0.100,0.100
Os,0.020,0.380,0.670
P,1.000,0.500,0.000
Pa,0.020,0.380,0.670
Pb,0.020,0.380,0.670
Pd,0.020,0.380,0.670
Pm,0.020,0.380,0.670
Po,0.020,0.380,0.670
Pr,0.020,0.380,0.670
Pt,0.020,0.380,0.670
Pu,0.020,0.380,0.670
Ra,0.020,0.380,0.670
Rb,0.020,0.380,0.670
Re,0.020,0.380,0.670
Rf,0.020,0.380,0.670
Rg,0.020,0.380,0.670
Rh,0.020,0.380,0.670
Rn,0.020,0.380,0.670
Ru,0.020,0.380,0.670
S,1.000,1.000,0.000
Sb,0.020,0.380,0.670
Sc,0.020,0.380,0.670
Se,0.020,0.380,0.670
Sg,0.020,0.380,0.670
Si,0.250,0.750,0.750
Sm,0.020,0.380,0.670
Sn,0.020,0.380,0.670
Sr,0.020,0.380,0.670
Ta,0.020,0.380,0.670
Tb,0.020,0.380,0.670
Tc,0.020,0.380,0.670
Te,0.020,0.380,0.670
Th,0.020,0.380,0.670
Ti,0.020,0.380,0.670
Tl,0.020,0.380,0.670
Tm,0.020,0.380,0.670
U,0.020,0.380,0.670
V,0.020,0.380,0.670
W,0.020,0.380,0.670
Xe,0.020,0.380,0.670
Y,0.020,0.380,0.670
Yb,0.020,0.380,0.670
Zn,0.020,0.380,0.670
Zr,0.020,0.380,0.670
