1,H,0.53 ,1.10 
2,He,0.31 ,1.40 
3,Li,1.67 ,1.81 
4,Be,1.12 ,1.53 
5,B,0.87 ,1.92 
6,C,0.67 ,1.70 
7,N,0.56 ,1.55 
8,O,0.48 ,1.52 
9,F,0.42 ,1.47 
10,Ne,0.38 ,1.54 
11,Na,1.90 ,2.27 
12,Mg,1.45 ,1.73 
13,Al,1.18 ,1.84 
14,Si,1.11 ,2.10 
15,P,0.98 ,1.80 
16,S,0.88 ,1.80 
17,Cl,0.79 ,1.75 
18,Ar,0.71 ,1.88 
19,K,2.43 ,2.75 
20,Ca,1.94 ,2.31 
21,Sc,1.84 ,1.50 
22,Ti,1.76 ,1.50 
23,V,1.71 ,1.50 
24,Cr,1.66 ,1.50 
25,Mn,1.61 ,1.50 
26,Fe,1.56 ,1.50 
27,Co,1.52 ,1.50 
28,Ni,1.49 ,1.63 
29,Cu,1.45 ,1.40 
30,Zn,1.42 ,1.39 
31,Ga,1.36 ,1.87 
32,Ge,1.25 ,2.11 
33,As,1.14 ,1.85 
34,Se,1.03 ,1.90 
35,Br,0.94 ,1.83 
36,Kr,0.88 ,2.02 
37,Rb,2.65 ,3.03 
38,Sr,2.19 ,2.49 
39,Y,2.12 ,1.70 
40,Zr,2.06 ,1.70 
41,Nb,1.98 ,1.70 
42,Mo,1.90 ,1.70 
43,Tc,1.83 ,1.70 
44,Ru,1.78 ,1.70 
45,Rh,1.73 ,1.70 
46,Pd,1.69 ,1.63 
47,Ag,1.65 ,1.72 
48,Cd,1.61 ,1.58 
49,In,1.56 ,1.93 
50,Sn,1.45 ,2.17 
51,Sb,1.33 ,2.06 
52,Te,1.23 ,2.06 
53,I,1.15 ,1.98 
54,Xe,1.08 ,2.16 
55,Cs,2.98 ,3.43 
56,Ba,2.53 ,2.68 
57,La,1.95 ,1.70 
58,Ce,1.58 ,1.70 
59,Pr,2.47 ,1.70 
60,Nd,2.06 ,1.70 
61,Pm,2.05 ,1.70 
62,Sm,2.38 ,1.70 
63,Eu,2.31 ,1.70 
64,Gd,2.33 ,1.70 
65,Tb,2.25 ,1.70 
66,Dy,2.28 ,1.70 
67,Ho,2.26 ,1.70 
68,Er,2.26 ,1.70 
69,Tm,2.22 ,1.70 
70,Yb,2.22 ,1.70 
71,Lu,2.17 ,1.70 
72,Hf,2.08 ,1.70 
73,Ta,2.00 ,1.70 
74,W,1.93 ,1.70 
75,Re,1.88 ,1.70 
76,Os,1.85 ,1.70 
77,Ir,1.80 ,1.70 
78,Pt,1.77 ,1.75 
79,Au,1.74 ,1.66 
80,Hg,1.71 ,1.55 
81,Tl,1.56 ,1.96 
82,Pb,1.54 ,2.02 
83,Bi,1.43 ,2.07 
84,Po,1.35 ,1.97 
85,At,1.27 ,2.02 
86,Rn,1.20 ,2.20 
87,Fr,2.00 ,3.48 
88,Ra,2.15 ,2.83 
89,Ac,1.95 ,1.80 
90,Th,1.80 ,1.80 
91,Pa,1.80 ,1.80 
92,U,1.75 ,1.86 
93,Np,1.75 ,1.80 
94,Pu,1.75 ,1.80 
95,Am,1.75 ,1.80 
96,Cm,2.00 ,1.80 
97,Bk,2.00 ,1.80 
98,Cf,2.00 ,1.80 
99,Es,2.00 ,1.80 
100,Fm,2.00 ,1.80 
101,Md,2.00 ,1.80 
102,No,2.00 ,1.80 
103,Lr,2.00 ,1.80 
104,Rf,2.00 ,1.80 
105,Db,2.00 ,1.80 
106,Sg,2.00 ,1.80 
107,Bh,2.00 ,1.80 
108,Hs,2.00 ,1.80 
109,Mt,2.00 ,1.80 
110,Ds,2.00 ,1.80 
111,Rg,2.00 ,1.80 
112,Cn,2.00 ,1.80 
113,Nh,2.00 ,1.80 
114,Fl,2.00 ,1.80 
115,Mc,2.00 ,1.80 
116,Lv,2.00 ,1.80 
117,Ts,2.00 ,1.80 
118,Og,2.00 ,1.80 
